category,name,summary,thumbnail_url,description,content,content_image_url,count




featurecategory,feature
피부 타입,모든 피부 타입
피부 타입,잦은 여행자
피부 타입,중성 피부
피부 타입,복합성 피부
피부 타입,민감성 피부
피부 타입,건성 피부
피부 타입,추운 기후의 지성 피부
피부 타입,덥고 습한 날씨
피부 타입,자주 에어컨에 노출된 피부
피부 타입,메이크업을 한 피부
사용감,산뜻한
사용감,부드러움
사용감,수분 공급
사용감,매트한 마무리
사용감,시원한
사용감,가벼운
사용감,생기있는
사용감,가벼운 마무리
사용감,진정된
사용감,탄력
사용감,유연
사용감,부드러운
사용감,상쾌한


ingredient
그레이프 씨드
판테놀
파슬리 씨드
만다린
레몬
텐저린
로즈
베르가못
카모마일
토코페롤
마트리카리아꽃오일
마카다미아 씨
베타 카로틴
로즈힙열매오일
라벤더 오일
로즈마리
알로에 베라
티 트리 리프
